timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762119737830,134,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,128,0,26
1762119737968,3,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,2,0,0
1762119737972,2,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,2,0,0
1762119737975,3,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,3,0,0
1762119737979,2,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,2,0,0
1762119737982,3,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,3,0,0
1762119737985,3,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,3,0,0
1762119737989,3,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,3,0,0
1762119737993,3,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,3,0,0
1762119737997,3,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,3,0,0
1762119738000,3,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,3,0,0
1762119738004,2,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,2,0,0
1762119738007,2,REST - C1: Consultar Produto,200,,C1 - 10 Usuários - Rest - Latência Base 1-1,text,true,,276,186,1,9,http://localhost:8081/produtos/1,2,0,0
