timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762119737830,255,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,255,0,26
1762119738086,8,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,8,0,0
1762119738095,11,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,11,0,0
1762119738107,8,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,8,0,0
1762119738116,9,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,9,0,0
1762119738126,14,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,13,0,0
1762119738141,7,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,7,0,0
1762119738149,10,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,10,0,0
1762119738160,11,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,11,0,0
1762119738172,9,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,9,0,0
1762119738182,10,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,9,0,0
1762119738192,8,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,8,0,0
1762119738201,10,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,10,0,0
1762119738212,29,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,9,http://localhost:8080/graphql,28,0,0
1762119738242,14,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,1,11,http://localhost:8080/graphql,13,0,0
1762119738256,25,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,18,0,0
1762119738276,18,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,15,0,1
1762119738281,15,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,15,0,0
1762119738299,9,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,9,0,0
1762119738295,14,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,14,0,0
1762119738308,17,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,17,0,0
1762119738309,40,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,37,0,0
1762119738325,30,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,30,0,0
1762119738349,17,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,16,0,0
1762119738356,19,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,19,0,0
1762119738376,11,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,10,0,0
1762119738368,20,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,20,0,0
1762119738387,17,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,16,0,0
1762119738405,5,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,4,0,0
1762119738389,22,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,13,0,0
1762119738410,21,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,10,0,0
1762119738412,27,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,27,0,0
1762119738439,18,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,17,0,0
1762119738431,44,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,44,0,0
1762119738458,17,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,14,0,0
1762119738476,26,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,19,0,0
1762119738476,32,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,32,0,0
1762119738509,14,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,10,0,0
1762119738503,21,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,17,0,0
1762119738523,10,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,10,0,0
1762119738524,10,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,10,0,0
1762119738533,7,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,6,0,0
1762119738535,7,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,7,0,0
1762119738541,7,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,7,0,0
1762119738545,7,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,7,0,0
1762119738549,3,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,3,0,0
1762119738553,20,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,20,0,0
1762119738555,24,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,24,0,0
1762119738580,4,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,3,0,0
1762119738574,12,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,9,0,0
1762119738584,26,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,26,0,0
1762119738586,34,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,29,0,0
1762119738610,12,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,12,0,0
1762119738620,22,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,15,0,0
1762119738633,11,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,11,0,0
1762119738645,5,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,5,0,0
1762119738642,10,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,10,0,0
1762119738651,17,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,16,0,0
1762119738670,18,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,18,0,0
1762119738652,36,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,27,0,0
1762119738689,7,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,4,0,0
1762119738688,9,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,7,0,0
1762119738698,4,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,3,0,0
1762119738697,8,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,8,0,0
1762119738706,5,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,5,0,0
1762119738703,13,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,12,0,0
1762119738712,9,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,8,0,0
1762119738716,9,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,4,0,0
1762119738721,6,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,5,0,0
1762119738728,4,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,4,0,0
1762119738732,5,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,4,0,0
1762119738738,3,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,18,http://localhost:8080/graphql,3,0,0
1762119738725,21,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,18,http://localhost:8080/graphql,13,0,0
1762119738741,24,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,2,22,http://localhost:8080/graphql,24,0,0
1762119738747,22,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,2,24,http://localhost:8080/graphql,22,0,0
1762119738766,14,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,3,25,http://localhost:8080/graphql,14,0,0
1762119738769,21,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,3,26,http://localhost:8080/graphql,21,0,0
1762119738780,17,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,3,26,http://localhost:8080/graphql,16,0,0
1762119738776,26,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-3,text,true,,378,224,3,26,http://localhost:8080/graphql,26,0,6
1762119738797,23,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-2,text,true,,378,224,3,26,http://localhost:8080/graphql,23,0,0
1762119738790,31,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,3,26,http://localhost:8080/graphql,13,0,0
1762119738803,21,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-3,text,true,,378,224,3,26,http://localhost:8080/graphql,16,0,0
1762119738822,17,GraphQL - C2: Consultar Lista (Under-fetching),200,,C2 - 10 Usuários - GraphQL - Consulta Complexa 8-1,text,true,,378,224,3,26,http://localhost:8080/graphql,10,0,0
